Sprite: 'tile_1_0' rect=(x:16.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_0_0' rect=(x:0.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_2_0' rect=(x:32.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_0_1' rect=(x:0.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_0_2' rect=(x:0.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_0_3' rect=(x:0.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_0_4' rect=(x:0.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_0_5' rect=(x:0.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_1_1' rect=(x:16.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_1_2' rect=(x:16.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_1_3' rect=(x:16.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_1_4' rect=(x:16.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_1_5' rect=(x:16.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_2_1' rect=(x:32.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_2_2' rect=(x:32.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_2_3' rect=(x:32.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_2_4' rect=(x:32.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_2_5' rect=(x:32.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_3_0' rect=(x:48.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_3_1' rect=(x:48.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_3_2' rect=(x:48.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_3_3' rect=(x:48.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_3_4' rect=(x:48.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_3_5' rect=(x:48.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_4_0' rect=(x:64.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_4_1' rect=(x:64.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_4_2' rect=(x:64.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_4_3' rect=(x:64.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_4_4' rect=(x:64.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_4_5' rect=(x:64.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_5_0' rect=(x:80.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_5_1' rect=(x:80.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_5_2' rect=(x:80.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_5_3' rect=(x:80.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_5_4' rect=(x:80.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_5_5' rect=(x:80.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_6_0' rect=(x:96.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_6_1' rect=(x:96.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_6_2' rect=(x:96.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_6_3' rect=(x:96.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_6_4' rect=(x:96.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_6_5' rect=(x:96.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_7_0' rect=(x:112.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_7_1' rect=(x:112.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_7_2' rect=(x:112.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_7_3' rect=(x:112.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
